#,Model name,Prompt type,Question (start),Why the model answer was wrong,Bias / problem / dataset issue
13,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Adrien's total salary was...,Same as #1.,Misinterpreted percentage baseline.
14,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Carlos is planting a...,Same as #2.,Ambiguous phrasing.
15,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Finn watches 11 tadpoles...,Added the 6 “from hiding” as new visibles.,Ambiguous text; dataset expects “already counted” interpretation.
16,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,If Marcy works for...,Returned vested fraction ($25k) vs adding to $50k.,Dataset likely incorrect; pension cannot exceed full amount.
17,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Jean is two years...,Same as #6.,Timeline confusion.
18,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Adrien's total salary was...,Same as #1.,Misinterpreted percentage baseline.
19,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Carlos is planting a...,Same as #2.,Ambiguous phrasing.
20,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Charlie wants to sell...,Scaled cost with 2 lb → $20 cost; profit $20.,Dataset likely incorrect; cost should scale with pounds.
21,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Christina is planning a...,Same as #4.,Prompt ambiguity (invited vs attending).
22,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Gene is sewing a...,Did 34−23=11 years (non-inclusive).,Inclusive counting mistake.
23,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Jean is two years...,Same as #6.,Timeline confusion.
24,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,John likes to have...,Same as #7.,Ignored weekend soda replaces dinner water.
25,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Mandy owes Benedict $100...,Same as #8.,Simple vs compound interest.
26,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Adrien's total salary was...,Same as #1.,Misinterpreted percentage baseline.
27,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Carlos is planting a...,Same as #2.,Ambiguous phrasing.
28,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Charlie wants to sell...,Same as #20.,Dataset likely incorrect (supply cost scales).
29,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Christina is planning a...,Same as #4.,Prompt ambiguity.
30,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Gene is sewing a...,Same as #22.,Inclusive years overlooked.
31,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Jean is two years...,Same as #6.,Timeline confusion.
32,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,John likes to have...,Same as #7.,Weekend dinner water wrongly included.
33,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Mandy owes Benedict $100...,Same as #8.,Simple vs compound interest.
34,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Sophia is thinking of...,"Used 4 gal as used, not added; mpg overstated.","Misread “needed to put in 4 gallons” (refill, not consumption)."
35,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Adrien's total salary was...,Same as #1.,Misinterpreted percentage baseline.
36,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Carlos is planting a...,Same as #2.,Ambiguous phrasing.
37,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Finn watches 11 tadpoles...,Same as #15.,Ambiguous; dataset expects “already seen” reading.
38,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Jean is two years...,Same as #6.,Timeline confusion.
39,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Mandy owes Benedict $100...,Same as #8.,Simple vs compound interest.
40,gpt-4.1-mini-2025-04-14_gsm8k_standard,standard,Sophia is thinking of...,Same as #34.,Misread refill vs usage.
